# Order
title,price,discprice,discount,fprice

# less then 2$
No Time To Explain Remastered, 16.99, 4.24, 75%, 4.24
SpeedRunners, 16.99, 4.24, 75%, 4.24
Trine Enchanted Edition, 16.99, 4.24, 75%, 4.24
VoidExpanse, 16.99, 4.24, 75%, 4.24
Warhammer Quest, 16.99, 4.24, 75%, 4.24
Shoppe Keep, 5.69, 4.26, 25%, 4.26
Death and Taxes, 14.49, 4.34, 70%, 4.34
Hue Game and Soundtrack Bundle, 24.78, 4.34, 82%, 4.34
A Valley Without Wind, 17.49, 4.37, 75%, 4.37
A Valley Without Wind 2, 17.49, 4.37, 75%, 4.37
Jotun: Valhalla Edition, 17.49, 4.37, 75%, 4.37
Perilous Warp, 17.49, 4.37, 75%, 4.37
Amnesia: The Dark Descent, 21.99, 4.39, 80%, 4.39
Conarium, 21.99, 4.39, 80%, 4.39
Dead Island Definitive Edition, 21.99, 4.39, 80%, 4.39
Disgaea 2 PC, 21.99, 4.39, 80%, 4.39
Higurashi When They Cry Hou - Ch.3 Tatarigoroshi, 8.79, 4.39, 50%, 4.39
Iron Sky: Invasion, 21.99, 4.39, 80%, 4.39
Long Live The Queen, 10.99, 4.39, 60%, 4.39
Lucius II, 21.99, 4.39, 80%, 4.39
Momodora: Reverie Under The Moonlight, 10.99, 4.39, 60%, 4.39
Soul Axiom, 21.99, 4.39, 80%, 4.39
Super Win the Game, 8.79, 4.39, 50%, 4.39
Syder Arcade, 10.99, 4.39, 60%, 4.39
This War of Mine, 21.99, 4.39, 80%, 4.39
Deep Sky Derelicts: Definitive Edition, 40.77, 4.45, 89%, 4.45
Despotism 3k, 8.99, 4.49, 50%, 4.49
Snakebird Primer, 8.99, 4.49, 50%, 4.49
This Is the Police, 17.99, 4.49, 75%, 4.49
Game & Complete Soundtrack, 21.18, 4.50, 78%, 4.50
Game & Complete Soundtrack, 21.18, 4.50, 78%, 4.50
Beyond Mankind: The Awakening, 22.79, 4.55, 80%, 4.55
Depraved, 22.79, 4.55, 80%, 4.55
Help Will Come Tomorrow, 22.79, 4.55, 80%, 4.55
Kind Words (lo fi chill beats to write to), 5.69, 4.55, 20%, 4.55
Mosaic, 22.79, 4.55, 80%, 4.55
Radio Commander, 22.79, 4.55, 80%, 4.55
Rhythm Brawl, 5.69, 4.55, 20%, 4.55
Stygian: Reign of the Old Ones, 22.79, 4.55, 80%, 4.55
Pixross, 4.65,0, 0%, 4.65
Freddi Fish 2: The Case of the Haunted Schoolhouse, 7.79, 4.67, 40%, 4.67
Putt-Putt® Enters the Race, 7.79, 4.67, 40%, 4.67
Putt-Putt® Joins the Circus, 7.79, 4.67, 40%, 4.67
Putt-Putt® Joins the Parade, 7.79, 4.67, 40%, 4.67
Putt-Putt® Saves The Zoo, 7.79, 4.67, 40%, 4.67
Putt-Putt® Travels Through Time, 7.79, 4.67, 40%, 4.67
"Spy Fox 2 ""Some Assembly Required""", 7.79, 4.67, 40%, 4.67
